name,start,end,location
Rev-sRNA-0,1232,1267,Antisense to gene-Rv0001
Rev-sRNA-2,8132,8154,Antisense to gene-Rv0006
Rev-sRNA-4,13902,14008,Sense to gene-Rv0011c
Rev-sRNA-5,14027,14085,Intergenic
Rev-sRNA-6,16352,16416,Sense to gene-Rv0014c
Rev-sRNA-7,18804,19098,Sense to gene-Rv0016c
Rev-sRNA-9,20350,20375,Sense to gene-Rv0017c
Rev-sRNA-11,21100,21201,Sense to gene-Rv0017c
Rev-sRNA-12,21927,22029,Sense to gene-Rv0018c
Rev-sRNA-13,22368,22522,Sense to gene-Rv0018c
Rev-sRNA-16,22906,23009,Sense to gene-Rv0018c
Rev-sRNA-17,23190,23371,Sense to gene-Rv0019c
Rev-sRNA-18,23746,23889,Intergenic
Rev-sRNA-19,23925,24124,Sense to gene-Rv0020c
Rev-sRNA-20,24231,24276,Sense to gene-Rv0020c
Rev-sRNA-21,24584,24689,Sense to gene-Rv0020c
Rev-sRNA-22,24830,25070,Sense to gene-Rv0020c
Rev-sRNA-24,25199,25233,Sense to gene-Rv0020c
Rev-sRNA-26,25470,25500,Intergenic
Rev-sRNA-29,31805,31825,Antisense to gene-Rv0028
Rev-sRNA-31,39823,39868,Intergenic
Rev-sRNA-32,41813,41904,Antisense to gene-Rv0038
Rev-sRNA-33,42469,42540,Sense to gene-Rv0040c
Rev-sRNA-34,42714,42769,Sense to gene-Rv0040c
Rev-sRNA-36,43025,43058,Sense to gene-Rv0040c
Rev-sRNA-38,43145,43231,Sense to gene-Rv0040c
Rev-sRNA-39,46736,46844,Sense to gene-Rv0042c
Rev-sRNA-40,49525,49609,Sense to gene-Rv0045c
Rev-sRNA-42,49699,49844,Sense to gene-Rv0045c
Rev-sRNA-44,49926,50044,Intergenic
Rev-sRNA-45,50074,50344,Sense to gene-Rv0046c
Rev-sRNA-46,50493,50595,Sense to gene-Rv0046c
Rev-sRNA-47,50700,50876,Sense to gene-Rv0046c
Rev-sRNA-49,51016,51189,Sense to gene-Rv0046c
Rev-sRNA-50,51392,51782,Sense to gene-Rv0047c
Rev-sRNA-51,60381,60441,Antisense to gene-Rv0058
Rev-sRNA-52,63406,63565,Antisense to gene-Rv0059
Rev-sRNA-53,64867,64981,Antisense to gene-Rv0060
Rev-sRNA-54,65442,65538,Intergenic
Rev-sRNA-55,72474,72576,Sense to gene-Rv0066c
Rev-sRNA-56,80253,80374,Intergenic
Rev-sRNA-57,87922,88004,Intergenic
Rev-sRNA-58,103401,103490,Sense to gene-Rv0093c
Rev-sRNA-59,103497,103525,Sense to gene-Rv0093c
Rev-sRNA-60,112772,112895,Antisense to gene-Rv0101
Rev-sRNA-61,120716,120819,Sense to gene-Rv0103c
Rev-sRNA-62,130913,130944,Sense to gene-Rv0108c
Rev-sRNA-63,137673,137693,Antisense to gene-Rv0113
Rev-sRNA-64,156519,156576,Intergenic
Rev-sRNA-65,156863,156962,Sense to gene-Rv0129c
Rev-sRNA-66,157057,157136,Sense to gene-Rv0129c
Rev-sRNA-67,157174,157205,Sense to gene-Rv0129c
Rev-sRNA-68,162708,162775,Sense to gene-Rv0135c
Rev-sRNA-70,162813,162842,Sense to gene-Rv0135c
Rev-sRNA-71,169117,169240,Sense to gene-Rv0143c
Rev-sRNA-72,169270,169305,Sense to gene-Rv0143c
Rev-sRNA-73,169608,169650,Sense to gene-Rv0143c
Rev-sRNA-74,170749,170808,Antisense to gene-Rv0144
Rev-sRNA-75,177236,177285,Intergenic
Rev-sRNA-76,180409,180446,Sense to gene-Rv0152c
Rev-sRNA-77,182373,182487,Sense to gene-Rv0154c
Rev-sRNA-79,186527,186548,Sense to gene-Rv0157A
Rev-sRNA-80,204770,204844,Antisense to gene-Rv0173
Rev-sRNA-83,210617,210646,Sense to gene-Rv0179c
Rev-sRNA-84,217687,217728,Antisense to gene-Rv0186
Rev-sRNA-86,218307,218394,Intergenic
Rev-sRNA-87,218455,218602,Sense to gene-Rv0186A
Rev-sRNA-89,219725,219807,Antisense to gene-Rv0188
Rev-sRNA-90,219977,219997,Intergenic
Rev-sRNA-91,220004,220053,Sense to gene-Rv0189c
Rev-sRNA-92,234460,234583,Sense to gene-Rv0198c
Rev-sRNA-93,236372,236440,Sense to gene-Rv0198c
Rev-sRNA-94,236488,236681,Antisense to gene-Rv0199
Rev-sRNA-95,237996,238110,Sense to gene-Rv0201c
Rev-sRNA-96,238438,238558,Sense to gene-Rv0202c
Rev-sRNA-98,243140,243203,Sense to gene-Rv0204c
Rev-sRNA-99,244765,244839,Sense to gene-Rv0206c
Rev-sRNA-100,244846,244877,Sense to gene-Rv0206c
Rev-sRNA-101,245411,245440,Sense to gene-Rv0206c
Rev-sRNA-102,245447,245488,Sense to gene-Rv0206c
Rev-sRNA-103,245875,245935,Sense to gene-Rv0206c
Rev-sRNA-104,246422,246518,Sense to gene-Rv0206c
Rev-sRNA-106,246715,246884,Sense to gene-Rv0206c
Rev-sRNA-107,247040,247071,Sense to gene-Rv0206c
Rev-sRNA-110,247320,247367,Intergenic
Rev-sRNA-111,247424,247526,Sense to gene-Rv0207c
Rev-sRNA-112,247996,248072,Sense to gene-Rv0207c
Rev-sRNA-116,272281,272324,Sense to gene-Rv0227c
Rev-sRNA-118,275181,275245,Sense to gene-Rv0230c
Rev-sRNA-119,279549,279574,Intergenic
Rev-sRNA-120,279581,279621,Intergenic
Rev-sRNA-121,279737,279800,Sense to gene-Rv0234c
Rev-sRNA-123,284817,284892,Sense to gene-Rv0236c
Rev-sRNA-124,286609,286726,Sense to gene-Rv0236c
Rev-sRNA-125,286840,287109,Sense to gene-Rv0236A
Rev-sRNA-126,289904,290031,Sense to gene-Rv0241c
Rev-sRNA-127,290492,290573,Sense to gene-Rv0241c
Rev-sRNA-128,291382,291490,Sense to gene-Rv0242c
Rev-sRNA-129,293665,293850,Intergenic
Rev-sRNA-130,294959,295007,Sense to gene-Rv0244c
Rev-sRNA-131,295211,295333,Sense to gene-Rv0244c
Rev-sRNA-136,298065,298184,Sense to gene-Rv0247c
Rev-sRNA-137,298858,298955,Sense to gene-Rv0248c
Rev-sRNA-141,299081,299381,Sense to gene-Rv0248c
Rev-sRNA-142,299955,299978,Sense to gene-Rv0248c
Rev-sRNA-143,300300,300422,Sense to gene-Rv0248c
Rev-sRNA-144,300809,300845,Intergenic
Rev-sRNA-147,301163,301206,Sense to gene-Rv0249c
Rev-sRNA-148,301264,301301,Sense to gene-Rv0249c
Rev-sRNA-149,301708,301804,Sense to gene-Rv0250c
Rev-sRNA-150,307994,308072,Sense to gene-Rv0256c
Rev-sRNA-151,309279,309406,Sense to gene-Rv0256c
Rev-sRNA-153,309728,309756,Antisense to gene-Rv0257
Rev-sRNA-154,309771,309797,Antisense to gene-Rv0257
Rev-sRNA-157,315692,315716,Sense to gene-Rv0263c
Rev-sRNA-158,316568,316705,Sense to gene-Rv0265c
Rev-sRNA-159,316711,316740,Sense to gene-Rv0265c
Rev-sRNA-161,323074,323096,Sense to gene-Rv0268c
Rev-sRNA-162,323178,323277,Sense to gene-Rv0268c
Rev-sRNA-166,328284,328345,Sense to gene-Rv0271c
Rev-sRNA-170,331392,331531,Sense to gene-Rv0275c
Rev-sRNA-171,331579,331640,Sense to gene-Rv0275c
Rev-sRNA-172,333124,333195,Intergenic
Rev-sRNA-174,333230,333251,Intergenic
Rev-sRNA-175,333258,333417,Intergenic
Rev-sRNA-176,338798,338832,Sense to gene-Rv0279c
